encoder,opn,pre_type,use_static,use_cl,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,1,2025-07-22 16:23:24.228668,0.9,7,7,0.03,0.001,200,0.37428200244903564,0.25950145721435547,0.4250277578830719,0.600989043712616,0.33827751874923706,0.22896356880664825,0.37884750962257385,0.5595721006393433,0.33750325441360474,0.2205267995595932,0.384468674659729,0.572570413351059,0.35627976059913635,0.24423251301050186,0.4019376337528229,0.5802805721759796
uvrgcn,sub,all,True,True,0,2025-08-04 14:41:52.996644,0.9,7,7,0.03,0.001,200,0.3735467791557312,0.26059138774871826,0.4235745370388031,0.5950348377227783,0.33850011229515076,0.23039661347866058,0.3786456882953644,0.5571500658988953,0.3367202877998352,0.22045616060495377,0.3852861076593399,0.5688263475894928,0.3560234308242798,0.24549400061368942,0.40111011266708374,0.5760924518108368
uvrgcn,sub,all,True,True,0,2025-08-06 19:43:20.784232,0.9,7,7,0.05,0.001,200,0.3909109830856323,0.2742961049079895,0.4449692368507385,0.6176405549049377,0.35401853919029236,0.24178020656108856,0.399798184633255,0.578625500202179,0.351165771484375,0.23071955889463425,0.4037642627954483,0.5907054245471954,0.37246477603912354,0.25803815573453903,0.42238371074199677,0.5981330275535583
uvrgcn,sub,all,True,True,0,2025-08-07 00:07:00.240481,0.9,7,7,0.03,0.001,200,0.3903586268424988,0.2749621570110321,0.44295087456703186,0.6166515350341797,0.35463643074035645,0.24335452914237976,0.39790090918540955,0.5773135423660278,0.3513956665992737,0.23229388147592545,0.40144313871860504,0.589484304189682,0.3724975287914276,0.25915834307670593,0.4204258918762207,0.5969825387001038
uvrgcn,sub,all,True,True,0,2025-08-11 13:04:20.287503,0.9,7,7,0.03,0.001,200,0.3885442316532135,0.2733474671840668,0.440145343542099,0.6158240437507629,0.35237613320350647,0.24141690135002136,0.3950146436691284,0.5768493413925171,0.34998899698257446,0.23126451671123505,0.39941468834877014,0.5880109071731567,0.37046018242836,0.25738218426704407,0.4175799936056137,0.59633669257164
uvrgcn,sub,all,True,True,0,2025-08-11 16:54:17.608601,0.9,7,7,0.03,0.001,200,0.39109230041503906,0.27609243988990784,0.44391968846321106,0.6156827211380005,0.3529040217399597,0.24111413955688477,0.39711374044418335,0.577959418296814,0.3510611653327942,0.23180947452783585,0.4016752541065216,0.5889696180820465,0.3719981610774994,0.2586032897233963,0.4205167144536972,0.5968210697174072
uvrgcn,sub,all,True,True,0,2025-08-11 21:12:30.556397,0.9,8,8,0.03,0.001,200,0.38791516423225403,0.27288323640823364,0.4393783509731293,0.6138662099838257,0.3515308201313019,0.2407306581735611,0.3938238024711609,0.5754566788673401,0.3491770625114441,0.23034615814685822,0.39914220571517944,0.5872237384319305,0.36972299218177795,0.25680694729089737,0.4166010767221451,0.5946614444255829
uvrgcn,sub,all,True,True,0,2025-08-12 01:28:05.141759,0.9,9,9,0.03,0.001,200,0.38910752534866333,0.27407407760620117,0.44012513756752014,0.6145322322845459,0.35425546765327454,0.2427893877029419,0.3978807330131531,0.5776163339614868,0.35081082582473755,0.2317691072821617,0.4013624042272568,0.5883540213108063,0.3716815114021301,0.25843173265457153,0.4190029352903366,0.5960742831230164
uvrgcn,sub,all,True,True,0,2025-08-20 13:40:42.968129,0.9,7,7,0.05,0.001,200,0.3922707736492157,0.27770712971687317,0.44246646761894226,0.617236852645874,0.35533562302589417,0.24492885172367096,0.3976788818836212,0.5801190733909607,0.3523696959018707,0.23341406881809235,0.4020082801580429,0.5912604928016663,0.37380319833755493,0.26131799072027206,0.42007267475128174,0.5986779630184174
uvrgcn,sub,all,True,True,0,2025-10-02 18:24:43.667906,0.9,7,7,0.05,0.001,200,0.38920047879219055,0.2722979187965393,0.44234535098075867,0.6166918873786926,0.3533453345298767,0.24137653410434723,0.3961853086948395,0.5813906788825989,0.3502577245235443,0.22971037030220032,0.4017660915851593,0.5914522409439087,0.3712729215621948,0.25683722645044327,0.4192653298377991,0.5990412831306458
