snapshot_index,temporal_position,mrr_filter,mrr_raw,num_triples,error
0,0.0,0.23865020275115967,0.23195386677980423,1090,0.7613497972488403
1,0.002881844380403458,0.25812970101833344,0.25060492753982544,730,0.7418702989816666
2,0.005763688760806916,0.2925611883401871,0.2789827138185501,646,0.7074388116598129
3,0.008645533141210375,0.2726948410272598,0.2616551071405411,939,0.7273051589727402
4,0.011527377521613832,0.29686543345451355,0.285486176609993,681,0.7031345665454865
5,0.01440922190201729,0.2685345560312271,0.24570772796869278,783,0.7314654439687729
6,0.01729106628242075,0.27530771493911743,0.26911085844039917,546,0.7246922850608826
7,0.020172910662824207,0.2519745007157326,0.24498873203992844,526,0.7480254992842674
8,0.023054755043227664,0.2834843099117279,0.2721564322710037,524,0.7165156900882721
9,0.025936599423631124,0.2516164407134056,0.2419605255126953,586,0.7483835592865944
10,0.02881844380403458,0.22306619584560394,0.21988103538751602,656,0.7769338041543961
11,0.03170028818443804,0.23593979328870773,0.22785118967294693,741,0.7640602067112923
12,0.0345821325648415,0.264825239777565,0.25227268785238266,562,0.735174760222435
13,0.037463976945244955,0.26861174404621124,0.25872431695461273,474,0.7313882559537888
14,0.040345821325648415,0.24688265472650528,0.23687852919101715,493,0.7531173452734947
15,0.043227665706051875,0.2499140128493309,0.24349049478769302,487,0.7500859871506691
16,0.04610951008645533,0.2737247347831726,0.26619626581668854,474,0.7262752652168274
17,0.04899135446685879,0.26326191425323486,0.25234949588775635,477,0.7367380857467651
18,0.05187319884726225,0.23839813470840454,0.2319129928946495,460,0.7616018652915955
19,0.05475504322766571,0.2638184726238251,0.2565044015645981,532,0.7361815273761749
20,0.05763688760806916,0.271455317735672,0.26419712603092194,348,0.728544682264328
21,0.06051873198847262,0.2830088436603546,0.2730221748352051,530,0.7169911563396454
22,0.06340057636887608,0.2727629393339157,0.26668044924736023,402,0.7272370606660843
23,0.06628242074927954,0.2251264825463295,0.21429593861103058,493,0.7748735174536705
24,0.069164265129683,0.26670779287815094,0.263384148478508,503,0.7332922071218491
25,0.07204610951008646,0.24583087116479874,0.2357649728655815,452,0.7541691288352013
26,0.07492795389048991,0.2414049133658409,0.23535600304603577,668,0.7585950866341591
27,0.07780979827089338,0.27518483996391296,0.2664477229118347,512,0.724815160036087
28,0.08069164265129683,0.24151960760354996,0.23669149726629257,406,0.75848039239645
29,0.08357348703170028,0.2531510815024376,0.2461768537759781,467,0.7468489184975624
30,0.08645533141210375,0.252994067966938,0.2421998754143715,524,0.747005932033062
31,0.0893371757925072,0.2607230767607689,0.250112846493721,563,0.7392769232392311
32,0.09221902017291066,0.24922022223472595,0.24204586446285248,524,0.750779777765274
33,0.09510086455331412,0.23501364141702652,0.23195086419582367,418,0.7649863585829735
34,0.09798270893371758,0.30316774547100067,0.29503144323825836,441,0.6968322545289993
35,0.10086455331412104,0.23234909027814865,0.22669988870620728,487,0.7676509097218513
36,0.1037463976945245,0.24410251528024673,0.23658768087625504,515,0.7558974847197533
37,0.10662824207492795,0.272702693939209,0.26010823249816895,475,0.727297306060791
38,0.10951008645533142,0.24325165152549744,0.24115275591611862,478,0.7567483484745026
39,0.11239193083573487,0.2774020731449127,0.26384225487709045,532,0.7225979268550873
40,0.11527377521613832,0.247096985578537,0.24484996497631073,387,0.752903014421463
41,0.11815561959654179,0.2319263517856598,0.22651078552007675,479,0.7680736482143402
42,0.12103746397694524,0.21867967396974564,0.21520860493183136,485,0.7813203260302544
43,0.1239193083573487,0.26752936840057373,0.2633129507303238,417,0.7324706315994263
44,0.12680115273775217,0.24970093369483948,0.24118278920650482,542,0.7502990663051605
