snapshot_index,temporal_position,mrr_filter,mrr_raw,num_triples,error
0,0.0,0.668194979429245,0.6509381532669067,63,0.331805020570755
1,0.0027100271002710027,0.5874417424201965,0.5870169401168823,59,0.41255825757980347
2,0.005420054200542005,0.6095850765705109,0.5896640121936798,167,0.39041492342948914
3,0.008130081300813009,0.7141488790512085,0.7083995640277863,97,0.2858511209487915
4,0.01084010840108401,0.6570111811161041,0.6444096267223358,90,0.3429888188838959
5,0.013550135501355014,0.7600107192993164,0.7599197924137115,50,0.2399892807006836
6,0.016260162601626018,0.6793943345546722,0.6660774946212769,85,0.32060566544532776
7,0.018970189701897018,0.5879180729389191,0.5878099799156189,38,0.41208192706108093
8,0.02168021680216802,0.6182834208011627,0.6182809174060822,54,0.3817165791988373
9,0.024390243902439025,0.5807645618915558,0.5733470916748047,127,0.4192354381084442
10,0.02710027100271003,0.597671389579773,0.5892217457294464,115,0.40232861042022705
11,0.02981029810298103,0.5374189913272858,0.5244360268115997,131,0.46258100867271423
12,0.032520325203252036,0.5409166216850281,0.5140116214752197,155,0.4590833783149719
13,0.03523035230352303,0.48680222034454346,0.4818231165409088,131,0.5131977796554565
14,0.037940379403794036,0.5263330936431885,0.5238389372825623,73,0.4736669063568115
15,0.04065040650406504,0.5964316725730896,0.5440169870853424,99,0.4035683274269104
16,0.04336043360433604,0.5425646901130676,0.5175057500600815,200,0.4574353098869324
17,0.04607046070460705,0.5952262878417969,0.5727717876434326,168,0.4047737121582031
18,0.04878048780487805,0.5856626331806183,0.5793724954128265,155,0.4143373668193817
19,0.051490514905149054,0.5825296640396118,0.5563278198242188,178,0.4174703359603882
20,0.05420054200542006,0.5677628517150879,0.5492897033691406,126,0.4322371482849121
21,0.056910569105691054,0.552662581205368,0.5416049361228943,49,0.44733741879463196
22,0.05962059620596206,0.5678621828556061,0.5554034113883972,73,0.4321378171443939
23,0.06233062330623306,0.5419056117534637,0.5224873423576355,192,0.45809438824653625
24,0.06504065040650407,0.5871308147907257,0.5689384341239929,179,0.4128691852092743
25,0.06775067750677506,0.5277832746505737,0.5263443291187286,146,0.47221672534942627
26,0.07046070460704607,0.5205187797546387,0.5193584263324738,151,0.47948122024536133
27,0.07317073170731707,0.5684354305267334,0.5594354271888733,127,0.4315645694732666
28,0.07588075880758807,0.5532697439193726,0.5490921139717102,70,0.44673025608062744
29,0.07859078590785908,0.5827616155147552,0.5736160278320312,84,0.41723838448524475
30,0.08130081300813008,0.5294834673404694,0.5173263251781464,188,0.47051653265953064
31,0.08401084010840108,0.5157370865345001,0.511815756559372,155,0.4842629134654999
32,0.08672086720867209,0.5600800216197968,0.5494421720504761,162,0.43991997838020325
33,0.08943089430894309,0.5590177774429321,0.5480521619319916,185,0.44098222255706787
34,0.0921409214092141,0.5475017428398132,0.5438502132892609,167,0.45249825716018677
35,0.0948509485094851,0.4979664981365204,0.4749380052089691,78,0.5020335018634796
36,0.0975609756097561,0.5340013802051544,0.5257222354412079,104,0.4659986197948456
37,0.1002710027100271,0.49573034048080444,0.4860791116952896,176,0.5042696595191956
38,0.10298102981029811,0.4933522939682007,0.4856501370668411,176,0.5066477060317993
39,0.10569105691056911,0.5673259794712067,0.5499776303768158,201,0.43267402052879333
40,0.10840108401084012,0.5440722405910492,0.5322424322366714,124,0.4559277594089508
41,0.1111111111111111,0.5461721420288086,0.5272715985774994,140,0.4538278579711914
42,0.11382113821138211,0.49959252774715424,0.48416024446487427,81,0.5004074722528458
43,0.11653116531165311,0.6044357419013977,0.5910627841949463,70,0.3955642580986023
44,0.11924119241192412,0.5377782583236694,0.5290200710296631,139,0.46222174167633057
45,0.12195121951219512,0.5439790785312653,0.5401531606912613,162,0.45602092146873474
46,0.12466124661246612,0.5093604922294617,0.500629186630249,165,0.49063950777053833
47,0.12737127371273713,0.5378234088420868,0.533380389213562,133,0.4621765911579132
48,0.13008130081300814,0.534434050321579,0.5287127494812012,151,0.465565949678421
49,0.13279132791327913,0.544841855764389,0.5419117212295532,77,0.45515814423561096
50,0.13550135501355012,0.485419437289238,0.47396109998226166,80,0.514580562710762
51,0.13821138211382114,0.554223895072937,0.5414925664663315,176,0.445776104927063
52,0.14092140921409213,0.5673197507858276,0.5475627779960632,167,0.43268024921417236
53,0.14363143631436315,0.5234785228967667,0.5095829665660858,151,0.47652147710323334
54,0.14634146341463414,0.5934019088745117,0.5820242464542389,127,0.4065980911254883
55,0.14905149051490515,0.48645786941051483,0.47934041917324066,113,0.5135421305894852
56,0.15176151761517614,0.5571063756942749,0.5559323728084564,72,0.4428936243057251
57,0.15447154471544716,0.6241834759712219,0.6113996803760529,77,0.3758165240287781
58,0.15718157181571815,0.532933920621872,0.5250531584024429,171,0.46706607937812805
59,0.15989159891598917,0.608490377664566,0.59562087059021,132,0.39150962233543396
