snapshot,difficulty,mrr,hits@1,hits@3,hits@10
0,0.5054459256015006,0.5106122344732285,0.40714286267757416,0.5657142698764801,0.7114285826683044
1,0.3656477796323128,0.4878748804330826,0.37957315146923065,0.5457316935062408,0.6966463327407837
2,0.47984083194459803,0.43369410932064056,0.3291139304637909,0.47151899337768555,0.6392405331134796
3,0.4212933358864158,0.47952035069465637,0.3586956560611725,0.5579710006713867,0.6847826242446899
4,0.17291464693233002,0.4727628231048584,0.36693547666072845,0.5120967626571655,0.7016128897666931
5,0.4113634499632067,0.479489341378212,0.3414634019136429,0.5792682766914368,0.7134146094322205
6,0.4502498767633377,0.48078733682632446,0.3628048598766327,0.5335365682840347,0.7073170244693756
7,0.39370667547402133,0.4966637194156647,0.3923611044883728,0.5572916865348816,0.6927083432674408
8,0.24682986581131133,0.4968009889125824,0.3742138296365738,0.5644654035568237,0.7358490228652954
9,0.43567958921265315,0.45269426703453064,0.32710279524326324,0.5109034180641174,0.7009345591068268
10,0.0,0.45074601471424103,0.3415384590625763,0.5000000149011612,0.6615384817123413
11,0.4254945893319357,0.4832998812198639,0.37542660534381866,0.5358361601829529,0.7269624471664429
12,0.20580937690090265,0.5325199663639069,0.4285714477300644,0.580357164144516,0.7455357611179352
13,0.16552597031738378,0.5961415469646454,0.4803921580314636,0.6764706075191498,0.7810457646846771
14,0.34929541475482273,0.507999062538147,0.39355742931365967,0.5728291571140289,0.7408963739871979
15,0.35856769580734343,0.4803510159254074,0.35999999940395355,0.5450000166893005,0.7166666984558105
16,0.4619503657508022,0.45127347111701965,0.332317054271698,0.5167682766914368,0.6676828861236572
17,0.3181644227130019,0.4795084744691849,0.35440611839294434,0.545976996421814,0.7183907926082611
18,0.3492954147548229,0.46768800914287567,0.35930734872817993,0.5238095074892044,0.6731601655483246
19,0.3750684382120068,0.5036496967077255,0.3842975050210953,0.5702479183673859,0.7231404781341553
20,0.3225694133669923,0.46591025590896606,0.3193277418613434,0.5588235557079315,0.7226890921592712
21,0.1305714313349224,0.4860987812280655,0.3771626353263855,0.5449827313423157,0.6989619433879852
22,0.4708117988834466,0.5246133804321289,0.40693430602550507,0.5857664048671722,0.7572992444038391
23,0.4936190358688225,0.4987156391143799,0.37438422441482544,0.5566502511501312,0.7389162480831146
24,0.20774654695084552,0.5666172504425049,0.4400000125169754,0.6466666758060455,0.8166666626930237
25,0.28403727523213884,0.537305548787117,0.406060591340065,0.6212120950222015,0.7939393818378448
26,0.4524452625966307,0.5755302309989929,0.46052631735801697,0.6622807085514069,0.7631579041481018
27,0.39277429194390434,0.5460137724876404,0.42276421189308167,0.6178861558437347,0.7926828861236572
28,0.46126780575610443,0.5375328958034515,0.4354838728904724,0.5919354557991028,0.7290322482585907
29,0.3706332711491674,0.5669766366481781,0.44300515949726105,0.6580310761928558,0.7797927260398865
30,0.33127401955523944,0.5279131680727005,0.44632767140865326,0.5621469020843506,0.6920904219150543
