snapshot,difficulty,mrr,hits@1,hits@3,hits@10
0,0.33366148272553114,0.37028105556964874,0.25896167010068893,0.4131643921136856,0.5942521393299103
1,0.38030543314694387,0.4072515368461609,0.294979065656662,0.4550209045410156,0.6391213238239288
2,0.1883080621744175,0.4247002452611923,0.30306747555732727,0.47791410982608795,0.6699386537075043
3,0.40420525194114,0.38064782321453094,0.26488707959651947,0.4370294511318207,0.6030116677284241
4,0.5456703986829642,0.3875841498374939,0.27539780735969543,0.4335985332727432,0.6135250926017761
5,0.48423742905825484,0.38188259303569794,0.2678571417927742,0.42888469994068146,0.6140350699424744
6,0.43849655219847883,0.3701695054769516,0.2639680653810501,0.41419611871242523,0.584663599729538
7,0.43445647206676763,0.38232196867465973,0.26639892905950546,0.43406960368156433,0.6147924959659576
8,0.37216741173797846,0.4167647361755371,0.29749999940395355,0.48499999940395355,0.648749977350235
9,0.4510437886357517,0.4073028862476349,0.28498469293117523,0.4637385308742523,0.6578141450881958
10,0.21251076910587488,0.37590232491493225,0.26353904604911804,0.42380350828170776,0.5982367396354675
11,0.4484140926895395,0.3734656572341919,0.25913433730602264,0.4255199432373047,0.6031478047370911
12,0.14008029578392997,0.3553425371646881,0.2403058260679245,0.4074276238679886,0.5789185762405396
13,0.36230473531834084,0.3444579243659973,0.2324063703417778,0.3847900331020355,0.5723609924316406
14,0.41923730274912935,0.37774063646793365,0.26564493775367737,0.42848019301891327,0.6008940041065216
15,0.3810356616936936,0.42164279520511627,0.31157635152339935,0.471059113740921,0.6403940618038177
16,0.40285363019153725,0.3897085040807724,0.2725609689950943,0.43658536672592163,0.6280487775802612
17,0.45207989852931063,0.35341767966747284,0.24253075569868088,0.3930872827768326,0.5743995308876038
18,0.46778967814639305,0.3479918837547302,0.22937624901533127,0.4031689912080765,0.5772132575511932
19,0.30141374295372564,0.35368482768535614,0.24119240790605545,0.4084010720252991,0.5661246478557587
20,0.21647877683774505,0.3505214899778366,0.2425149753689766,0.3919161856174469,0.564970076084137
21,0.41540822969866475,0.3660907745361328,0.25575220584869385,0.41120943427085876,0.5923303663730621
22,0.3482228020205728,0.38291917741298676,0.2656903713941574,0.42991629242897034,0.6145397126674652
23,0.27913057880896186,0.42255279421806335,0.2956989258527756,0.48763443529605865,0.6650537550449371
24,0.24467182002810586,0.3769724816083908,0.2687385678291321,0.4213893860578537,0.5871419608592987
25,0.383940402258368,0.3534383624792099,0.23579701781272888,0.4043022394180298,0.588527262210846
26,0.1974627774952073,0.3658991903066635,0.2544059157371521,0.4141557812690735,0.5830017328262329
27,0.0,0.36529624462127686,0.24969952553510666,0.41766828298568726,0.5934495627880096
28,0.24084393305806928,0.3879401534795761,0.2759900912642479,0.43533414602279663,0.6157177984714508
29,0.46647560748016936,0.4065244793891907,0.27815864980220795,0.475024476647377,0.6635650992393494
30,0.4833580787770424,0.3922496736049652,0.27454909682273865,0.4529058188199997,0.605711430311203
31,0.46907933528728174,0.3679104596376419,0.2583932876586914,0.4166666865348816,0.5785371959209442
32,0.45712184077977047,0.37929481267929077,0.2677784711122513,0.42605412006378174,0.5972309708595276
33,0.28365300267133514,0.35696960985660553,0.24709302186965942,0.4046511650085449,0.5741279125213623
